Play_num,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,unique_ID,event_gameID_timenum,HOMEDESCRIPTION,PLAYER1_NAME,PLAYER1_TEAM,PCTIMESTRING,PERIOD,VISITORDESCRIPTION,Score,Score_Margin,OT Game,Home_Win,time_decimals,timenum,scoremargin>10,Timeout,home_time_dummy,visitor_time_dummy,Play_after_timeout,PLAYER1_NAME,Shot Type,Makes,Base Points,Points,FT Made,PLAYER1_TEAM,Distance,Block,Steal,Defensive Player,Defensive Player Team,,,,
467,0,8,676,21800003,467-21800003,21800003-54-8,SUB: Kidd-Gilchrist FOR Monk,Malik Monk,CHA,00:54,4,,111 - 110,-1,No,0,0.0375,54,No,0,0,0,,Malik Monk,,,0,0,,CHA,,,,,,,,,
468,1,5,674,21800003,468-21800003,21800003-54-5,Walker STEAL (2 STL),Malcolm Brogdon,MIL,00:54,4,Brogdon Bad Pass Turnover (P4.T21),111 - 110,-1,No,0,0.0375,54,No,0,0,0,Turnover,Malcolm Brogdon,,,0,0,,MIL,,,1,Kemba Walker,CHA,,,,
469,0,8,678,21800003,469-21800003,21800003-51-8,SUB: Monk FOR Kidd-Gilchrist,Michael Kidd-Gilchrist,CHA,00:51,4,,111 - 110,-1,No,0,0.0354,51,No,0,0,0,,Michael Kidd-Gilchrist,,,0,0,,CHA,,,,,,,,,
470,2,6,681,21800003,470-21800003,21800003-36-6,,Ersan Ilyasova,MIL,00:36,4,Ilyasova S.FOUL (P6.PN) (S.Corbin),111 - 110,-1,No,0,0.025,36,No,0,0,0,,Ersan Ilyasova,,,0,0,,MIL,,,,,,,,,
471,11,3,683,21800003,471-21800003,21800003-36-3,Walker Free Throw 1 of 2 (40 PTS),Kemba Walker,CHA,00:36,4,,111 - 111,0,No,0,0.025,36,No,0,0,0,,Kemba Walker,Free Throw,,1,1,,CHA,19,,,,,,,,
472,12,3,684,21800003,472-21800003,21800003-36-3,Walker Free Throw 2 of 2 (41 PTS),Kemba Walker,CHA,00:36,4,,111 - 112,1,No,0,0.025,36,No,0,0,0,,Kemba Walker,Free Throw,,1,1,,CHA,19,,,,,,,,
473,2,6,685,21800003,473-21800003,21800003-23-6,Hernangomez S.FOUL (P3.PN) (S.Corbin),Willy Hernangomez,CHA,00:23,4,,111 - 112,1,No,0,0.016,23,No,0,0,0,,Willy Hernangomez,,,0,0,,CHA,,,,,,,,,
474,0,8,687,21800003,474-21800003,21800003-23-8,SUB: Zeller FOR Williams,Marvin Williams,CHA,00:23,4,,111 - 112,1,No,0,0.016,23,No,0,0,0,,Marvin Williams,,,0,0,,CHA,,,,,,,,,
475,0,8,689,21800003,475-21800003,21800003-23-8,SUB: Kidd-Gilchrist FOR Monk,Malik Monk,CHA,00:23,4,,111 - 112,1,No,0,0.016,23,No,0,0,0,,Malik Monk,,,0,0,,CHA,,,,,,,,,
476,11,3,691,21800003,476-21800003,21800003-23-3,,Giannis Antetokounmpo,MIL,00:23,4,Antetokounmpo Free Throw 1 of 2 (24 PTS),112 - 112,0,No,0,0.016,23,No,0,0,0,,Giannis Antetokounmpo,Free Throw,,-1,-1,,MIL,19,,,,,,,,
477,0,8,692,21800003,477-21800003,21800003-23-8,SUB: Monk FOR Kidd-Gilchrist,Michael Kidd-Gilchrist,CHA,00:23,4,,112 - 112,0,No,0,0.016,23,No,0,0,0,,Michael Kidd-Gilchrist,,,0,0,,CHA,,,,,,,,,
478,0,8,693,21800003,478-21800003,21800003-23-8,,Malcolm Brogdon,MIL,00:23,4,SUB: Henson FOR Brogdon,112 - 112,0,No,0,0.016,23,No,0,0,0,,Malcolm Brogdon,,,0,0,,MIL,,,,,,,,,
479,0,8,694,21800003,479-21800003,21800003-23-8,,Ersan Ilyasova,MIL,00:23,4,SUB: DiVincenzo FOR Ilyasova,112 - 112,0,No,0,0.016,23,No,0,0,0,,Ersan Ilyasova,,,0,0,,MIL,,,,,,,,,
480,12,3,698,21800003,480-21800003,21800003-23-3,,Giannis Antetokounmpo,MIL,00:23,4,Antetokounmpo Free Throw 2 of 2 (25 PTS),113 - 112,-1,No,0,0.016,23,No,0,0,0,,Giannis Antetokounmpo,Free Throw,,-1,-1,,MIL,19,,,,,,,,
